"LineNumber","Kind","Name","TypeDefIndex","Declaration"
"998803","class","AndroidNearbyConnectionClient.OnGameThreadDiscoveryListener.","15439","private sealed class AndroidNearbyConnectionClient.OnGameThreadDiscoveryListener.<>c__DisplayClass3_0 // TypeDefIndex: 15439"
"998819","class","AndroidNearbyConnectionClient.OnGameThreadDiscoveryListener","15440","private class AndroidNearbyConnectionClient.OnGameThreadDiscoveryListener : IDiscoveryListener // TypeDefIndex: 15440"
"999098","class","AndroidSavedGameClient.AndroidConflictResolver","15448","private class AndroidSavedGameClient.AndroidConflictResolver : IConflictResolver // TypeDefIndex: 15448"
"999139","class","AndroidSavedGameClient.","15449","private sealed class AndroidSavedGameClient.<>c__DisplayClass10_0 // TypeDefIndex: 15449"
"999159","class","AndroidSavedGameClient.","15450","private sealed class AndroidSavedGameClient.<>c__DisplayClass12_0 // TypeDefIndex: 15450"
"999175","class","AndroidSavedGameClient.","15451","private sealed class AndroidSavedGameClient.<>c__DisplayClass12_1 // TypeDefIndex: 15451"
"999196","class","AndroidSavedGameClient.","15452","private sealed class AndroidSavedGameClient.<>c__DisplayClass16_0<T1, T2> // TypeDefIndex: 15452"
"999228","class","AndroidSavedGameClient.","15453","private sealed class AndroidSavedGameClient.<>c__DisplayClass16_1<T1, T2> // TypeDefIndex: 15453"
"999262","class","AndroidSavedGameClient.","15454","private sealed class AndroidSavedGameClient.<>c__DisplayClass4_0 // TypeDefIndex: 15454"
"999279","class","AndroidSavedGameClient.","15455","private sealed class AndroidSavedGameClient.<>c__DisplayClass6_0 // TypeDefIndex: 15455"
"999308","class","AndroidSavedGameClient.","15456","private sealed class AndroidSavedGameClient.<>c__DisplayClass9_0 // TypeDefIndex: 15456"
"999327","class","AndroidSavedGameClient","15457","internal class AndroidSavedGameClient : ISavedGameClient // TypeDefIndex: 15457"
"999388","class","AndroidSnapshotMetadata","15458","internal class AndroidSnapshotMetadata : ISavedGameMetadata // TypeDefIndex: 15458"
"999443","class","AndroidTaskUtils.TaskOnCompleteProxy","15459","private class AndroidTaskUtils.TaskOnCompleteProxy<T> : AndroidJavaProxy // TypeDefIndex: 15459"
"999474","class","AndroidTaskUtils.TaskOnSuccessProxy","15460","private class AndroidTaskUtils.TaskOnSuccessProxy<T> : AndroidJavaProxy // TypeDefIndex: 15460"
"999512","class","AndroidTaskUtils.TaskOnFailedProxy","15461","private class AndroidTaskUtils.TaskOnFailedProxy : AndroidJavaProxy // TypeDefIndex: 15461"
"999527","class","AndroidTaskUtils","15462","internal class AndroidTaskUtils // TypeDefIndex: 15462"
"1000114","enum","LeaderboardStart","15482","public enum LeaderboardStart // TypeDefIndex: 15482"
"1000123","enum","LeaderboardTimeSpan","15483","public enum LeaderboardTimeSpan // TypeDefIndex: 15483"
"1000133","enum","LeaderboardCollection","15484","public enum LeaderboardCollection // TypeDefIndex: 15484"
"1000155","enum","LoadFriendsStatus","15486","public enum LoadFriendsStatus // TypeDefIndex: 15486"
"1000397","class","LeaderboardScoreData","15490","public class LeaderboardScoreData // TypeDefIndex: 15490"
"1000705","enum","SavedGameRequestStatus","15500","public enum SavedGameRequestStatus // TypeDefIndex: 15500"
"1000749","interface","ISavedGameClient","15503","public interface ISavedGameClient // TypeDefIndex: 15503"
"1000788","interface","ISavedGameMetadata","15505","public interface ISavedGameMetadata // TypeDefIndex: 15505"
"1000820","struct","SavedGameMetadataUpdate.Builder","15506","public struct SavedGameMetadataUpdate.Builder // TypeDefIndex: 15506"
"1000845","struct","SavedGameMetadataUpdate","15507","public struct SavedGameMetadataUpdate // TypeDefIndex: 15507"
"1000887","struct","AdvertisingResult","15508","public struct AdvertisingResult // TypeDefIndex: 15508"
"1000914","struct","ConnectionRequest","15509","public struct ConnectionRequest // TypeDefIndex: 15509"
"1001663","enum","Addressables.MergeMode","15537","public enum Addressables.MergeMode // TypeDefIndex: 15537"
"1001674","class","Addressables","15538","public static class Addressables // TypeDefIndex: 15538"
"1002071","class","AddressablesImpl.LoadResourceLocationKeyOp","15539","private class AddressablesImpl.LoadResourceLocationKeyOp : AsyncOperationBase<IList<IResourceLocation>> // TypeDefIndex: 15539"
"1002101","class","AddressablesImpl.LoadResourceLocationKeysOp","15540","private class AddressablesImpl.LoadResourceLocationKeysOp : AsyncOperationBase<IList<IResourceLocation>> // TypeDefIndex: 15540"
"1002134","class","AddressablesImpl.","15541","private sealed class AddressablesImpl.<>c // TypeDefIndex: 15541"
"1002167","class","AddressablesImpl.","15542","private sealed class AddressablesImpl.<>c__114<TObject> // TypeDefIndex: 15542"
"1002211","class","AddressablesImpl.","15543","private sealed class AddressablesImpl.<>c__DisplayClass102_0 // TypeDefIndex: 15543"
"1002228","class","AddressablesImpl.","15544","private sealed class AddressablesImpl.<>c__DisplayClass105_0 // TypeDefIndex: 15544"
"1002245","class","AddressablesImpl.","15545","private sealed class AddressablesImpl.<>c__DisplayClass109_0 // TypeDefIndex: 15545"
"1002262","class","AddressablesImpl.","15546","private sealed class AddressablesImpl.<>c__DisplayClass111_0 // TypeDefIndex: 15546"
"1002280","class","AddressablesImpl.","15547","private sealed class AddressablesImpl.<>c__DisplayClass115_0 // TypeDefIndex: 15547"
"1002298","class","AddressablesImpl.","15548","private sealed class AddressablesImpl.<>c__DisplayClass116_0 // TypeDefIndex: 15548"
"1002316","class","AddressablesImpl.","15549","private sealed class AddressablesImpl.<>c__DisplayClass117_0 // TypeDefIndex: 15549"
"1002334","class","AddressablesImpl.","15550","private sealed class AddressablesImpl.<>c__DisplayClass122_0 // TypeDefIndex: 15550"
"1002352","class","AddressablesImpl.","15551","private sealed class AddressablesImpl.<>c__DisplayClass124_0 // TypeDefIndex: 15551"
"1002370","class","AddressablesImpl.","15552","private sealed class AddressablesImpl.<>c__DisplayClass127_0 // TypeDefIndex: 15552"
"1002391","class","AddressablesImpl.","15553","private sealed class AddressablesImpl.<>c__DisplayClass128_0 // TypeDefIndex: 15553"
"1002412","class","AddressablesImpl.","15554","private sealed class AddressablesImpl.<>c__DisplayClass134_0 // TypeDefIndex: 15554"
"1002430","class","AddressablesImpl.","15555","private sealed class AddressablesImpl.<>c__DisplayClass135_0 // TypeDefIndex: 15555"
"1002448","class","AddressablesImpl.","15556","private sealed class AddressablesImpl.<>c__DisplayClass139_0 // TypeDefIndex: 15556"
"1002465","class","AddressablesImpl.","15557","private sealed class AddressablesImpl.<>c__DisplayClass143_0 // TypeDefIndex: 15557"
"1002483","class","AddressablesImpl.","15558","private sealed class AddressablesImpl.<>c__DisplayClass148_0 // TypeDefIndex: 15558"
"1002501","class","AddressablesImpl.","15559","private sealed class AddressablesImpl.<>c__DisplayClass149_0 // TypeDefIndex: 15559"
"1002519","class","AddressablesImpl.","15560","private sealed class AddressablesImpl.<>c__DisplayClass61_0 // TypeDefIndex: 15560"
"1002535","class","AddressablesImpl.","15561","private sealed class AddressablesImpl.<>c__DisplayClass72_0 // TypeDefIndex: 15561"
"1002554","class","AddressablesImpl.","15562","private sealed class AddressablesImpl.<>c__DisplayClass78_0<TObject> // TypeDefIndex: 15562"
"1002587","class","AddressablesImpl.","15563","private sealed class AddressablesImpl.<>c__DisplayClass79_0<TObject> // TypeDefIndex: 15563"
"1002620","class","AddressablesImpl.","15564","private sealed class AddressablesImpl.<>c__DisplayClass83_0 // TypeDefIndex: 15564"
"1002639","class","AddressablesImpl.","15565","private sealed class AddressablesImpl.<>c__DisplayClass85_0 // TypeDefIndex: 15565"
"1002657","class","AddressablesImpl.","15566","private sealed class AddressablesImpl.<>c__DisplayClass88_0<TObject> // TypeDefIndex: 15566"
"1002692","class","AddressablesImpl.","15567","private sealed class AddressablesImpl.<>c__DisplayClass89_0<TObject> // TypeDefIndex: 15567"
"1002728","class","AddressablesImpl.","15568","private sealed class AddressablesImpl.<>c__DisplayClass91_0<TObject> // TypeDefIndex: 15568"
"1002757","class","AddressablesImpl.","15569","private sealed class AddressablesImpl.<>c__DisplayClass99_0 // TypeDefIndex: 15569"
"1002773","class","AddressablesImpl","15570","internal class AddressablesImpl : IEqualityComparer<IResourceLocation> // TypeDefIndex: 15570"
"1003779","enum","AddressablesPlatform","15588","public enum AddressablesPlatform // TypeDefIndex: 15588"
"1003797","class","PlatformMappingService","15589","public class PlatformMappingService // TypeDefIndex: 15589"
"1004122","class","ContentCatalogData.Serializer","15600","internal class ContentCatalogData.Serializer : BinaryStorageBuffer.ISerializationAdapter<ContentCatalogData>, BinaryStorageBuffer.ISerializationAdapter // TypeDefIndex: 15600"
"1004149","struct","ContentCatalogData.ResourceLocator.Header","15601","public struct ContentCatalogData.ResourceLocator.Header // TypeDefIndex: 15601"
"1004197","class","ContentCatalogData.ResourceLocator.ResourceLocation.ResolvedInternalIdSerializer","15605","public class ContentCatalogData.ResourceLocator.ResourceLocation.ResolvedInternalIdSerializer : BinaryStorageBuffer.ISerializationAdapter<ContentCatalogData.ResourceLocator.ResourceLocation.ResolvedInternalId>, BinaryStorageBuffer.ISerializationAdapter // TypeDefIndex: 15605"
